index	secret
0	my mom use to tell me i was fat. i think she's a cow
1	i feel guilty about knowing i want to marry my partner when i'm so young
2	unattainability is one of the most attractive qualities a girl can have for me
3	i think i can speak to stuffed animals
4	I once skipped class to get a haircut
5	i'm still in love with you
6	My dad beat me
7	i'm in love with a married man
8	Physical pain helps me concentrate
9	sometimes I like to dance under the stars on the rooftop...naked
10	i unintentionally became a homewrecker yesterday
11	i sometimes like to watch those porn videos with the stepmom and daughter and boyfriend (but they're actors)
12	i'm a cheater
13	I'm not smarter than a 5th grader
14	I regret not being more thankful for my wonderful parents.
15	My girlfriend and I have already seriously talked and planned our whole life together. From who still need to go to gradschool, to where we want to settle down with kids and how many we'd like to have.
16	big crowds make me nervous
17	i fucked my math teacher
18	i think my dad cheated on my mom
19	I'm afraid to come out to my roommate
20	i lied to my best friend very badly at age 14
21	i have a secret boyfriend
22	i had sex with my ex-boyfriend's dad
23	sometimes i pretend to be a cat
24	I was sexually abused as a child and i'm scared to tell anyone
25	i had sex with my coworker
26	I see the world in a light brighter than most and I do not think understand.
27	I keyed some assholes car in highschool cause he made my best friend cry
28	14 is the age at which I lost my virginity and my parents will never know because that is horribly young.
29	I can't wait to start my life
30	I lie a lot
31	i'm scared of growing up and dying
32	I once stole dirty underwear from a guy's dorm room for a friend
33	I found the toe bone of a dinosaur while camping
34	my first fish froze to death
35	Greg wears dirty underwear every day
36	i can't ride a bike
37	My family has never loved me for who I ACTUALLY am...
38	my roommate doesnt know i'm gay
39	I wonder if I'm not good enough for him.
40	i've been cheated on and pretended i dont know
41	John was always more than a friend
42	I think Donald Trump has nice hair
43	i'm afraid of my full potential
44	I want to go back to my home country. India.
45	i am in love with someone i cannot have
46	The fur on my hood is not mink
47	I had an erotic encounter in the stacks
48	i still think about my ex fling
49	I am actually Miranda Sings
50	i co-run an infamous drug cartel in southern california
51	I worry sometimes that I have no empathy
52	I bullied other children at summer camp
53	I'm in a relationship, but no one needs to know. That's the beauty of it.
54	I'm afraid of what I dont remember
55	I have a darker past than I would like... I'm scared it will come out again
56	I am afraid of tiny dollhouses, oil paintings, music, museums, grass, porcelain
57	high functioning depression
58	i dont know what im going to do in my life and it scares me
59	my expo teacher is the hottest guy i've ever seen...yes i dreeam about him
60	I used to have a fantasy that I'd be in the genius club Mensa. I don't care about that at all anymore.
61	My relationship sucks to a whole new level. god knows what and who i even like anymore
62	i don't understand what allergies are
63	i once bumped someones phone when it was charging and it fell off a table and cracked and i just walked away
64	i took acid during an organic chemistry exam
65	I'm Gay and My Boyfriend is Straight
66	i slept with a work colleague
67	i love him but he was hurting me so i left him but that hurts me
68	i'm not sad anymore
69	I broke my sister's necklace and told her i lost it
70	i dont have underwear on
71	i cant tell dreams from reality
72	I love an au pair girlfriend
73	ich mag berlin nicht wirklich
74	I have spent the last few years questioning my sexuality, I still don't know
75	i want love in all areas of my life
76	I'm on a break with my high school sweetheart and i'm sleeping with someone else
77	my pants are on fire.
78	i smuggle drugs in my butt
79	i cried during lady and the tramp 2
80	I killed my rabbit
81	When I was 16, I came upon a dead man in a traffic accident.
82	when i see cute things i want to hurt them
83	I totally believe we are supposed to be in this very spot right now, and I'm still worried my life won't end up in a good way
84	I'm afraid that my relationship is going nowhere
85	I once was pregnant.
86	i once fucked while my roommate was in the room
87	i do not trust this system
88	i think of you when i'm with him
89	I'm manipulating my girlfriend and she doesn't know it
90	i can pickpocket. I enjoy it.
91	I am scared of what the world thinks of me, I am also scared of making decisions, and doubt myself in love.
92	i wrote this program
93	I dont know my baby's father
94	we are having an affair and leaving the country on saturday
95	I only have one nipple
96	My parents hate each other
97	I was born intersex but I haven't told anyone, not even my parents
98	I'm wearing dirty underwear again
99	Do you believe in society's lies?
100	My best friends father sexually assaulted me in front of her
101	i accidentally peed on a sanctuary carpet. in my defense, i was asleep and sleep-walked there, but in not my defense i didn't clean it in the morning.
102	one time i poured boiling water on my brother and then blamed someone else
103	I used to steal mail out of peoples' mailboxes, to look for money or baseball cards.
104	I'd rather be in the mountains
105	I HAVE A SECRET TWITTER ACCOUNT WITH 15,000 FOLLOWERS THAT I HAVEN'T TOLD ANYONE IN REAL LIFE ABOUT
106	i murdered a man once in reno
107	Sometimes I think I made the wrong decision about my career
108	Deep down I'm a Trump supporter...
109	i sleep with a pillow between my knees!
110	my uncle lost his virginity to tyra banks...
111	my current outfit costs 2 months rent
112	i wasn't sexually attracted to my boyfriend of four years
113	i have a deep secret. well since my inception, I have been a super child, I have been an extra ordinary child with massive super powers
114	i use a separate toothbrush to comb my fly away hairs
115	I don't like to hug people
116	I think I like him. I am just afraid to love again, I guess.
117	my third grade pool instructor let me look down her shirt
118	I immediately think Trump supporters have issues
119	i don't love myself nearly enough
120	I don't know what I want to do with my life
121	i voted for donald trump
122	I keep LSD in my philosophy books
123	my friend made me pretend to be cinderella's evil step sister and locked me in her basement while she when to the ball
124	one time i let my uncle touch my butt. it went on a lot longer than i expected it to, but i guess i was cool with it in retrospect. My uncle is a good guy, but he just cant resist his urges sometimes... at least that's how he explained it to me. It felt good at first, but after about 10 minutes I started to regret it. I love my uncle, but i think that time he went just a little too far.
125	I have a third nipple
126	i wear each pair of underwear 4 times
127	I am tired of having to please my family and care for them but i don't know how to stop
128	i wish my dad had died so he could stop taking money from my mom
129	the person I was named after had a lobotomy
130	I never blinked in my adolescent life because I was scared of the dark.
131	i'm sexually attracted to almost everything, and i have to play it straight
132	i think babies are creepy looking
133	i am in love with mr montine
134	sometimes i want to just disappear
135	are they watching us?
136	My father wrote the essay that got me into college
137	My family know's nothing about me. I've lied about my identity my whole life.
138	everytime someone is mean to me i immediately fall a little bit in love with them.
139	I was a shoplifter in high school
140	i am in love with my brother
141	regukarly steal greek yogurt...and i'm not from Berlin
142	I have panic disorder and probably PTSD
143	I don't know if my parents will accept me if I come out
144	I once invented a story about my first kiss it wasn't true at all!
145	every time I see a window I think of jumping
146	I always forget how to spell my middle name
147	i used to deal drugs
148	I am a free mason. My name is mason, and I'm on parole.
149	I killed someone once, and i have never, never gotten over it. and I hope I never do.
150	a 60 year old man kissed me when i was 8. i think this is sexual assult but i don't want to admit it
151	my parents don't know that i smoke
152	One of my closest friends commited suicide and I feel broken
153	I once crashed my scooter into a car, and just ran away
154	i think this thing is sketchy
155	i'm in love with my girlfriend but she has horrrible taste in wine
156	one time i took a dump in a display toilet
157	I ran away from home when I was 11.
158	i cheated on my ex husband
159	I'm afraid I'm all alone on this universe
160	sometimes i like to drive and think about what would happen if i just drove off the road.
161	i dream about him dying
162	I don't think I'll ever be able to forgive my little sister for thethings she did to my mother's life, health, and sanity.
163	i m insecure about my glasses
164	je crois en nous plus que tout
165	Some people tell me I havea twinkle in my eye
166	I want to be a millionaire too
167	I have an eating disorder but I don't think it means I don't love myself. I am not in denial
168	I don't believe in god
169	I have dreams about my own funeral and think about my own death and i hope that people will actually show up to my funeral
170	I carry some of my mother's secrets on my shoulders.
171	I dance to grocery store music
172	I have recurring dreams of my sister dying, and I don't understand why.
173	i hit a car in the borders parking lot and it scratched the paint a little bit and i drove away
174	I tried three different types of anti dperessants before I found that worked
175	there is a lot of suicide in my family
176	My boyfriend puked after we had sex
177	I often get stoned and think I have matrix mind. (I'm not slow... just perceiving time so fast that it all just appears slow.)
178	everything is terrible and i want to see it get worse
179	It's not that I'm ashamed of being gay. But rather that coming out to my family as anything that isnt straight would ruin their lives,
180	i am afraid of cops
181	I had really bad PTSD and tried to kill myself
182	i am sectretly a sociopath
183	die buecher, die mir am meisten bedeuten, sind die, die ich am haeufigsten weggelegt habe
184	i hope to meet someone in london and finaly fall in love
185	i fantasize about kicking donald trump in the balls
186	the last boy in my bed has a girlfriend who's not me
187	I don't know Spanish but sometimes I scream it during sex
188	I stalked my suitemate on Facebook and found out that he really likes Trump.
189	I want to sleep with all my professors to get an A in every class.
190	i wish i grew up in the 20s
191	I still have an eating disorder even though I pretend I'm in remission
192	i have so many library fines
193	im jealous of mr. kennelly's girlfriend
194	I am confident, after much rumination, that death is the only comfort in life
195	i want to change careers and move out of thte city
196	I once got arrested for stealing video games from Tesco
197	i hugged a squirrel
198	im in love with my girlfriend's roomate's boyfriend but i dont know how to tell everyone
199	i don't trust my boyfriend
200	a tattoo artist told me to get my asshole licked at least once in my life
201	I was arrested for scalping Michael Jackson tickets in NYC
202	I was attacked by an owl
203	i almost kissed my friend when drunk dancing, but i have a girlfriend and it makes me feel ashamed
204	Every day I wake up and say I'm okay but I won't be until the day I'm no longer living alone
205	I've never been honest about where I'm from
206	I'm scared of being alone
207	i love feet
208	I really have an imaginary friend.
209	no one knows that i'm gay
210	my vibrator looks like an emoji
211	I know where the Gardner paintings are located.
212	Sometimes I wish I had five kids and sometimes I wish I had none
213	i wish i were a unicorn
214	i'm not wearing any underwear
215	I don't think I will ever be the same after seeing my dad pass away in front of my own eyes.
216	sometimes i fell like everyone would be better off if I wasn't a part of their lives
217	I was the one who threw mud on the cars that drove by. Not my neighbor. I deserved getting yelled at when I broke a windshield, not her.
218	I've kissed my brother
219	I not so secretly want my secret to print
220	haven't had sex in a year
221	My dad had an affair but i didn't tell anyone
222	i went skinny dipping for the first time last weekend
223	EV is a Russian spy, but I still love her.
224	I have a family secret. My Friend got framed for murder
225	I have aspergers
226	I can't wear mismatched socks
227	my father doesn't know I live in an apartment
228	i feel like I'll never know true happiness and find love...stupid?
229	I have a family member that I hope will die soon
230	One time, I stole a hairbrush from my grandfathers trophy wife
231	I have major impostor symdrome
232	I've been depressed for years
233	I smoke to bring the world closer to me.
234	i'm transgender
235	i miss my ex and can get her back but know its not the right thing to do. it eats me up every night not doing so.
236	i'm deathly afraid of pigeons
237	I used my sister's passport as a fake in sf
238	the word penis makes me uncomfortable
239	I feel like I can justify the worst things I've done
240	i dont know if my fiance is the one
241	I've killed a man
242	I once scratched a car when I was 6 years old going too fast on my bike. I didn't stop or tell my parents what I did. It spanned the entire side of the car.
243	I know the way the universe was made
244	i fucked my cousins when i was little
245	my parents don't love each other
246	i wanna drink so bad and sometimes i feel like i can
247	I am afraid that I've disappointed my family by choosing art.
248	i have been dating my girlfriend for 8 months and our parents still dont know
249	i want nothing more than for my ex to break up with his new boyfriend
250	you will disappear soon
251	I collect figurines of babies
252	i had buttsex on a tree with my surf instructor
253	I have a picture of Conan O'Brien in my retainer, which I still wear.
254	i one time ate a whole lettuce leaf full of mayo on a dare, to impress some boys
255	I lied to my teacher in second grade
256	i am bisexual
257	i lost my virginity to a one night stand
258	i killed a bunny when i was 7
259	I am very scared of making big descions
260	I had sex in public with a girl i had met 4 hours earlier. Also she was close to twice my age.
261	i hope i figure things out
262	I touched my math teacher's dick in the classroom
263	you'll never know how much i really love you
264	i once spent a whole day killing frogs.
265	I sleep with a man who has a pillow between his knees and a face mask.
266	I got stuck when I was being born
267	I dont know who to trust
268	I want my little sister to grow up brave
269	i like being the victim sometimes
270	I wish I could talk to my parents about my mental illness
271	i hate myself and have tried killing myself twice this week
272	I used to abuse my siblings
273	Ich vergesse oft abzustimmen!
274	You stand before a painting entitled VIO 1960
275	Sometimes i try my dogs food
276	I resent my mother
277	I am asexual
278	my girlfriend doesn't know the half of my sexual deviancy
279	i'm embarrassed about my driving
280	my desire to watch everyone burn
281	A lot of people view me as a strong independent personality but still im very insecure and i feel no one can see
282	sometimes i want to break up with my boyfriend because he is depressed
283	I wasn't actually raped and everyone thinks i was. It ruined my fucking life. But no one knows.
284	im scared of never making good friends
285	I wish my mother would get fired from her job to make her stop drinking
286	I still love my first love
287	Im afriad to be in love with someone ill leave
288	I hate when my roommate scratches his balls on the couch and then hands me the remote.
289	My day isn't complete without a drink
290	So what i'm rich, i still cry
291	i slept with a pedophile
292	My interns stole clothes from work and I didn't care
293	I have abnormally small feet and hands
294	I've never cried as hard as I did when I watched surfs up for the first time
295	i want to write a romance novel
296	i can only orgasm when thinking of 90's frosted tips justin timberlake
297	im only attracted to married women.
298	I'm not sure I've ever been in love
299	i like watching people type their secrets
300	i had a threeway with my roomate and her boyfriend the day before my boyfriend and I got together
301	i once stole money from the host of a party
302	i hate it when my friends are happier than me so i try to destroy their happiness
303	i hate being an every day average Joe
304	is insecurity part of human nature
305	i do things that would get me in trouble if people found out
306	I have photocopied my ass
307	i once ran a nude housecleaning business
308	I really want to quit my job but dont know how to leave.
309	I like to smell horse crap
310	every day i tell myself two things: i am a god, and "bulletproof"
311	Sometimes I think I'm so fat that I'm afraid to see anyone. I never want to be seen.
312	i would marry a kennedy for the networking
313	i cant lie
314	wenn ich sage: 'das wollte ich dich gerade fragen', meine ich: 'ich habe gerade ueberhaupt nicht aufgepasst und interessiert hat es mich auch nicht'
315	i cried more when my dog died than when my grandpa died
316	i'm a spy
317	I'm so afraid of getting married
318	I feel real sad in this instant right now
319	im not happy with my relationship
320	Moss is the sexistist of speciemens '
321	confused but in love with idea of love
322	my math teacher used to grade us based onour boobs in the 7th grade. the bigger the cup, the better the grade.
323	im in love with someone other than my husband
324	i slept with my sisters ex... several times
325	I crashed my postal car
326	I've lived in the same place for several years but still vote in my home state
327	I've cheated on everybody I have dated
328	I'm lonely
329	i'm deeply embarrased of being a virgin
330	I have a tattoo of a sun on my ass
331	I can and do fit my whole fist in my mouth
332	i'm a jealous person
333	i've never had a boyfriend
334	i got fingered by a taxi driver
335	I want to be in love of someone in my own city or place!
336	so many library fines right now, im filled with shame...
337	i think every day that society is an elaborate distraction from death
338	my boyfriend is underage and im almost 30
339	i clogged the toilet in the gym bathroom last year
340	I have been in love with my best friend for 12 years and have never told him.
341	i am too restless to live i this world long
342	Everyone I know thinks I am crazy but I am not... or maybe I am...
343	i once took communion even though im jewish
344	I've often wondered about stealing art.
345	No one would know it, but everyday is a struggle for me.
346	shark movies have ruined my life
347	YOU ARE BEAUTIFUL
348	my friend microwaved her hamster and it died
349	i don't miss my husband
350	i find most people incredibly immature
351	i feel like im making up my mental illness
352	I have an imaginary friend named Joe
353	I sometimes feel guilty for not being a doctor because I would be an amazing one
354	i ate a sock once
355	i hit my aunts bumper once
356	i do not know my father.
357	my friend had a threesome with her english teacher
358	Im afraid of the ocean
359	sometimes i think i'm immortal
360	I shoplifted as a child and my mother made me go back an apologize
361	I ate erasers in second grade
362	My dad and I used to fight a lot. He used to beat me but he stopped. He's super sorry and tries his best to make up for it now, but even years later, I still haven't fully forgiven him and I don't know if I ever realyl will.
363	My roommate doesn't know that I'm gay.
364	I'm a 31 year old who's never had sex, kill me.
365	I lost a best friend and it reallly hurts
366	I manipulate people all the time
367	I got my cousin pregnant
368	I had a crush on my high school history teacher. I was 16, he was about 50. I was kind of obessed with him actually
369	i fucked my art teacher in high school
370	One time, I ate 12 cupcakes in a sitting
371	I haven't been in love in 8 yeras and I'm not sure if I ever will be again
372	I backed into a mailbox and dented my car... I told my mom that I had no idea what happened to it.
373	i want more attention from men
374	i hide my depression from everyone in my life
375	I like bondage
376	I never had a home growing up.
377	I have several very disturbing fetishes.
378	I once unplugged a whole concert.
379	im very insecure
380	My girlfriend calles my penis Gerald
381	I fell in love with someone else while dating the girl of my dreams.
382	my friends carry guns but my parents dont know that i hang out with gangsters
383	I want a man in a suit
384	i never learned how to roll a joint.
385	i have herpes and im afraid to tell anyone
386	i used to think being sad was romantic
387	i broke my moms necklace
388	i love richard nixon
389	im addicted to secrets
390	I was a boy scout.
391	About 60% of the time at work I just pretend to know what I'm doing
392	I once paid $10,000 for a famous writer's digital files
393	I almost never feel totally comfortable
394	lust  turns us into people we aren't
395	Im afraid of dolls
396	My nationality is not actually Polish
397	my husband cheated on me with my younger sisiter
398	i let someone believe i was raped, i dont know why
399	I'm afriad my expectations are both too high and too low.
400	i went to peru and had sex on a mountain with someone who was not my boyfriend
401	ich hab mit vici geschlafen
402	i peed my pants last year. (i'm 24)
403	I can't feel empathy
404	sometimes im mean to people that i really like. then i feel bad. why am i mean?
405	sometimes i wish i had called the cops on my parents
406	im always anxious and it makes me really sad
407	I bit my little sister once
408	I've performed on a sexcam
409	im terrified that im emotionally unstable
410	When I was younger I thought that I could transport myself to a different universe
411	My new therapist's name is John
412	Im afraid of my own mind
413	I think my girlfriend secretly hates me
414	I SEE DEAD PEOPLE
415	i am homeless but my friends think I still have a home and that i have money.
416	i think my husband is a little gay
417	I think I am a girl but I have not told anyone... Also I am always horny also I still like girls.
418	when i feel sad or afriad, I EAT SO MUCH POPCORN AND CHEESE AND PIZZA AND CHOCOLATE
419	I set fires to feel joy
420	Sometimes even when I know I have friends that care, I think that no one is there when I need them the most, especially at night.
421	I don't watch porn
422	i have a fish (dead) under my pillow
423	I'm happy when others fail
424	I like the teasing more than the thing
425	my cat didn't get hit by a car, it got eaten by a wolf
426	Every time I watch a horror movie I sleep with a baseball bat
427	i can't connect with people on a deep level
428	i dont want to be what my parents want me to be, but i dont want to break their hearts
429	Einmal habe ich meinen Onkel meinen Hintern berühren lassen. Es ging viel länger, als ich es erwartet hatte, aber ich glaube, ich war im Rückblick cool mit ihm. Mein Onkel ist ein guter Kerl, aber er hat seine Triebe manchmal nicht im Griff... zumindest ist das, was er mir erklärt hat. Es hat sich anfangs gut angefühlt, aber nach ca. 10 Minuten begann ich, es zu bereuen. Ich liebe meinen Onkel, aber ich denke, dass die Zeit war er nur ein liiiiiiitle zu weit.
430	i hate toenails
431	I write erotic novels on tumblr
432	I really think I need to be on antipsychotics
433	When I'm mad at my mom, I shit in her toilet
434	i dont want to have a boyfriend again ever
435	I've slept with many married men, knowingly
436	I would quit my job in a heartbeat.
437	i steal from work all the time
438	im bisexual
439	i hate it when guys at art museums hit of me
440	I'm dating my boss
441	when i was 7, i peed on myself in walmart and didnt tell anyone. i left a puddle
442	my secrets are all boring
443	I accidentally stole eyeliner from cvs
444	I love my dog more than my little brothers
445	I have three nipples
446	in love with a married guy
447	i hate my fathers politics
448	i lie to my parents daily and dont feel bad
449	I slept with my ex's best friend
450	when I was in high school, I hooked up with a coach at an ivy league school in order to get recruited. I didn't get in.
451	im scared about this in my life and i just need courage
452	My banking PIN is almost the same as the one my dad gave me when I was 10
453	i haven't showered in days
454	I stole my co-worker's lunch
455	I really want to quit my job
456	i am so in love with everyone i meet
457	I waste a lot of money whenever I feel my anxiety coming back.
458	I have bipolar disorder
459	i'm not sad he died
460	I tried to kill myself
461	im 25 and i still wet my bed at night
462	I think Bernie Sanders is handsome
463	I love Ken Burns
464	i love robbery
465	I once accidentally cut off half of my eyebrow
466	i have a slight death wish
467	im afraid of dying alone and being wealthy
